url,preco com desconto,preco sem desconto
https://www.santoremedio.com.br/refil-sabonete-liquido-baby-dove-hidratacao-sensivel-180ml,"R$ 9,59","R$ 9,59"
https://www.santoremedio.com.br/colonia-turma-da-xuxinha-baruel-embalagem-120ml,"R$ 19,99","R$ 19,99"
https://www.santoremedio.com.br/kit-escova-pent-rosa-nep,"R$ 16,99","R$ 16,99"
https://www.santoremedio.com.br/fralda-huggies-supreme-care-p-48-unidades,"R$ 53,99","R$ 59,99"
https://www.santoremedio.com.br/fralda-supreme-care-p-huggies-28un,"R$ 35,99","R$ 39,99"
https://www.santoremedio.com.br/composto-lacteo-neslac-supreme-nestle-800g,"R$ 80,59","R$ 80,59"
https://www.santoremedio.com.br/mel-rosado-adv-30ml,"R$ 9,59","R$ 9,59"
https://www.santoremedio.com.br/sabonete-liquido-infantil-tradicional-granado-250ml,"R$ 27,99","R$ 27,99"
https://www.santoremedio.com.br/sabonete-liquido-hora-de-sonhar-para-bebe-huggies-200ml,"R$ 19,99","R$ 19,99"
https://www.santoremedio.com.br/fralda-huggies-tripla-protecao-g-28-unidades,"R$ 37,99","R$ 37,99"
https://www.santoremedio.com.br/sab-tdm-camomila-c-75g-kmb,"R$ 4,99","R$ 4,99"
https://www.santoremedio.com.br/gel-higienizador-giovanna-baby-classic-embalagem-500ml,"R$ 24,09","R$ 24,09"
https://www.santoremedio.com.br/cortador-unha-mini-nail-infantil-mkd,"R$ 19,99","R$ 19,99"
https://www.santoremedio.com.br/absorventes-para-seios-johnson-s-24un,"R$ 49,99","R$ 49,99"
https://www.santoremedio.com.br/haste-flexivel-cotonetes-pote-150un,"R$ 13,99","R$ 13,99"
https://www.santoremedio.com.br/oleo-j-j-baby-h-sono-200ml-joh,"R$ 65,99","R$ 65,99"
https://www.santoremedio.com.br/oleo-para-bebe-johnsons-baby-amendoas-200ml,"R$ 65,99","R$ 65,99"
https://www.santoremedio.com.br/sabonete-liquido-relaxante-baby-hora-do-sono-johnson-s-200ml,"R$ 29,99","R$ 29,99"
https://www.santoremedio.com.br/sabonete-liquido-johnson-s-baby-cabeca-aos-pes-200ml,"R$ 29,99","R$ 29,99"
https://www.santoremedio.com.br/talco-pura-protecao-johnson-s-baby-200g,"R$ 34,99","R$ 34,99"
https://www.santoremedio.com.br/talco-j-j-baby-h-sono-200g-joh,"R$ 26,19","R$ 26,19"
https://www.santoremedio.com.br/sabonete-infantil-regular-johnsons-80g,"R$ 7,99","R$ 7,99"
https://www.santoremedio.com.br/colonia-refrescante-lavanda-para-bebes-johnson-s-baby-200ml,"R$ 39,99","R$ 39,99"
https://www.santoremedio.com.br/talco-granado-bebe-embalagem-100g,"R$ 18,09","R$ 18,09"
